[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	900 seconds
[runlim] space limit:		2048 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		-m
[runlim] argv[2]:		counterSharp
[runlim] argv[3]:		--amm
[runlim] argv[4]:		/tmp/steuber/experiment/amm.dimacs
[runlim] argv[5]:		--amh
[runlim] argv[6]:		/tmp/steuber/experiment/amh.dimacs
[runlim] argv[7]:		--asm
[runlim] argv[8]:		/tmp/steuber/experiment/asm.dimacs
[runlim] argv[9]:		--ash
[runlim] argv[10]:		/tmp/steuber/experiment/ash.dimacs
[runlim] argv[11]:		--con
[runlim] argv[12]:		/tmp/steuber/experiment/con.dimacs
[runlim] argv[13]:		-d
[runlim] argv[14]:		--function
[runlim] argv[15]:		testfun
[runlim] argv[16]:		--unwind
[runlim] argv[17]:		32768
[runlim] argv[18]:		/home/i12/steuber/counting/counterSharp-experiments/benchmarks/bwd_loop10-2.c
[runlim] start:			Thu Oct 29 14:34:37 2020
[runlim] main pid:		2578
[counterSharp.util.Config] DEBUG: Input files: ['/home/i12/steuber/counting/counterSharp-experiments/benchmarks/bwd_loop10-2.c']
[counterSharp.source.SourceManager] DEBUG: /tmp/steuber/experiment/tmpbd4i87ir.c
[counterSharp.cbmc.CBMCManager] DEBUG: cbmc --verbosity 4 --function testfun --dimacs --slice-formula --unwind 32768 --no-assertions --no-assumptions --unwinding-assertions /tmp/steuber/experiment/tmpbd4i87ir.c
[runlim] sample:		9.7 time, 10.9 real, 109.3 MB
[runlim] sample:		19.7 time, 20.9 real, 162.0 MB
[runlim] sample:		29.7 time, 30.9 real, 204.7 MB
[runlim] sample:		39.7 time, 40.9 real, 240.8 MB
[runlim] sample:		49.7 time, 50.9 real, 274.1 MB
[runlim] sample:		59.7 time, 60.9 real, 307.3 MB
[runlim] sample:		69.7 time, 70.9 real, 336.7 MB
[runlim] sample:		79.7 time, 80.9 real, 374.7 MB
[runlim] sample:		89.7 time, 90.9 real, 415.4 MB
[runlim] sample:		99.7 time, 100.9 real, 454.8 MB
[runlim] sample:		109.7 time, 110.9 real, 493.9 MB
[runlim] sample:		119.7 time, 120.9 real, 532.9 MB
[runlim] sample:		129.7 time, 130.9 real, 568.2 MB
[runlim] sample:		139.7 time, 140.9 real, 603.1 MB
[runlim] sample:		149.7 time, 150.9 real, 636.7 MB
[runlim] sample:		159.7 time, 160.9 real, 669.3 MB
[runlim] sample:		169.7 time, 170.9 real, 701.1 MB
[runlim] sample:		179.7 time, 180.9 real, 732.7 MB
[runlim] sample:		189.7 time, 190.9 real, 763.6 MB
[runlim] sample:		199.7 time, 200.9 real, 794.2 MB
[runlim] sample:		209.7 time, 210.9 real, 824.2 MB
[runlim] sample:		219.7 time, 220.9 real, 853.1 MB
[runlim] sample:		229.7 time, 230.9 real, 880.6 MB
[runlim] sample:		239.7 time, 240.9 real, 907.4 MB
[runlim] sample:		249.6 time, 250.9 real, 933.1 MB
[runlim] sample:		259.6 time, 260.9 real, 953.7 MB
[runlim] sample:		269.6 time, 270.9 real, 977.1 MB
[runlim] sample:		279.6 time, 280.9 real, 1000.4 MB
[runlim] sample:		289.6 time, 290.9 real, 1024.3 MB
[runlim] sample:		299.6 time, 300.9 real, 1048.3 MB
[runlim] sample:		309.6 time, 310.9 real, 1072.0 MB
[runlim] sample:		319.6 time, 320.9 real, 1095.5 MB
[runlim] sample:		329.6 time, 330.9 real, 1118.4 MB
[runlim] sample:		339.6 time, 340.9 real, 1140.9 MB
[runlim] sample:		349.6 time, 350.9 real, 1162.8 MB
[runlim] sample:		359.6 time, 360.9 real, 1186.1 MB
[runlim] sample:		369.6 time, 370.9 real, 1210.9 MB
[runlim] sample:		379.6 time, 380.9 real, 1239.8 MB
[runlim] sample:		389.6 time, 390.9 real, 1273.6 MB
[runlim] sample:		399.6 time, 400.9 real, 1306.9 MB
[runlim] sample:		409.6 time, 410.9 real, 1340.9 MB
[runlim] sample:		419.6 time, 420.9 real, 1375.3 MB
[runlim] sample:		429.6 time, 430.9 real, 1408.4 MB
[runlim] sample:		439.6 time, 440.9 real, 1440.4 MB
[runlim] sample:		449.6 time, 450.9 real, 1472.5 MB
[runlim] sample:		459.6 time, 460.9 real, 1505.1 MB
[runlim] sample:		469.6 time, 470.9 real, 1537.8 MB
[runlim] sample:		479.6 time, 480.9 real, 1570.8 MB
[runlim] sample:		489.6 time, 490.9 real, 1603.9 MB
[runlim] sample:		499.6 time, 500.9 real, 1637.1 MB
[runlim] sample:		509.6 time, 510.9 real, 1670.6 MB
[runlim] sample:		519.6 time, 520.9 real, 1703.9 MB
[runlim] sample:		529.6 time, 530.9 real, 1737.2 MB
[runlim] sample:		539.6 time, 540.9 real, 1770.4 MB
[runlim] sample:		549.6 time, 550.9 real, 1803.6 MB
[runlim] sample:		559.6 time, 560.9 real, 1836.4 MB
[runlim] sample:		569.6 time, 570.9 real, 1868.4 MB
[runlim] sample:		579.6 time, 580.9 real, 1901.1 MB
[runlim] sample:		589.6 time, 590.9 real, 1933.2 MB
[runlim] sample:		599.6 time, 600.9 real, 1965.7 MB
[runlim] sample:		609.6 time, 610.9 real, 1997.6 MB
[runlim] sample:		619.6 time, 620.9 real, 2029.4 MB
[runlim] end:			Thu Oct 29 14:45:05 2020
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		6269
[runlim] real:			628.20 seconds
[runlim] time:			626.86 seconds
[runlim] space:			2048.2 MB
[runlim] samples:		6273
