[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	900 seconds
[runlim] space limit:		2048 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		-m
[runlim] argv[2]:		counterSharp
[runlim] argv[3]:		--amm
[runlim] argv[4]:		/tmp/steuber/experiment/amm.dimacs
[runlim] argv[5]:		--amh
[runlim] argv[6]:		/tmp/steuber/experiment/amh.dimacs
[runlim] argv[7]:		--asm
[runlim] argv[8]:		/tmp/steuber/experiment/asm.dimacs
[runlim] argv[9]:		--ash
[runlim] argv[10]:		/tmp/steuber/experiment/ash.dimacs
[runlim] argv[11]:		--con
[runlim] argv[12]:		/tmp/steuber/experiment/con.dimacs
[runlim] argv[13]:		-d
[runlim] argv[14]:		--function
[runlim] argv[15]:		testfun
[runlim] argv[16]:		--unwind
[runlim] argv[17]:		1000000
[runlim] argv[18]:		/home/i12/steuber/counting/counterSharp-experiments/benchmarks/Mono3_1-2.c
[runlim] start:			Thu Oct 29 17:43:30 2020
[runlim] main pid:		13366
[counterSharp.util.Config] DEBUG: Input files: ['/home/i12/steuber/counting/counterSharp-experiments/benchmarks/Mono3_1-2.c']
[counterSharp.source.SourceManager] DEBUG: /tmp/steuber/experiment/tmpbz6m8u4s.c
[counterSharp.cbmc.CBMCManager] DEBUG: cbmc --verbosity 4 --function testfun --dimacs --slice-formula --unwind 1000000 --no-assertions --no-assumptions --unwinding-assertions /tmp/steuber/experiment/tmpbz6m8u4s.c
[runlim] sample:		9.7 time, 10.7 real, 91.8 MB
[runlim] sample:		19.6 time, 20.7 real, 128.9 MB
[runlim] sample:		29.6 time, 30.7 real, 160.1 MB
[runlim] sample:		39.6 time, 40.7 real, 188.3 MB
[runlim] sample:		49.6 time, 50.7 real, 215.8 MB
[runlim] sample:		59.6 time, 60.7 real, 241.3 MB
[runlim] sample:		69.6 time, 70.7 real, 266.3 MB
[runlim] sample:		79.6 time, 80.7 real, 290.3 MB
[runlim] sample:		89.6 time, 90.7 real, 314.0 MB
[runlim] sample:		99.6 time, 100.7 real, 337.2 MB
[runlim] sample:		109.6 time, 110.7 real, 359.2 MB
[runlim] sample:		119.6 time, 120.7 real, 381.6 MB
[runlim] sample:		129.6 time, 130.7 real, 403.8 MB
[runlim] sample:		139.6 time, 140.7 real, 425.4 MB
[runlim] sample:		149.6 time, 150.7 real, 447.1 MB
[runlim] sample:		159.6 time, 160.7 real, 468.2 MB
[runlim] sample:		169.6 time, 170.7 real, 488.8 MB
[runlim] sample:		179.6 time, 180.7 real, 509.5 MB
[runlim] sample:		189.6 time, 190.7 real, 529.4 MB
[runlim] sample:		199.6 time, 200.7 real, 549.2 MB
[runlim] sample:		209.6 time, 210.7 real, 569.0 MB
[runlim] sample:		219.6 time, 220.7 real, 588.6 MB
[runlim] sample:		229.6 time, 230.7 real, 607.7 MB
[runlim] sample:		239.6 time, 240.7 real, 628.2 MB
[runlim] sample:		249.6 time, 250.7 real, 647.3 MB
[runlim] sample:		259.6 time, 260.7 real, 665.8 MB
[runlim] sample:		269.6 time, 270.7 real, 684.4 MB
[runlim] sample:		279.6 time, 280.7 real, 702.6 MB
[runlim] sample:		289.6 time, 290.7 real, 720.7 MB
[runlim] sample:		299.6 time, 300.7 real, 736.2 MB
[runlim] sample:		309.6 time, 310.7 real, 750.6 MB
[runlim] sample:		319.6 time, 320.7 real, 764.7 MB
[runlim] sample:		329.6 time, 330.7 real, 778.9 MB
[runlim] sample:		339.6 time, 340.7 real, 793.3 MB
[runlim] sample:		349.6 time, 350.7 real, 807.5 MB
[runlim] sample:		359.6 time, 360.7 real, 821.9 MB
[runlim] sample:		369.6 time, 370.7 real, 836.1 MB
[runlim] sample:		379.6 time, 380.7 real, 850.5 MB
[runlim] sample:		389.6 time, 390.7 real, 865.0 MB
[runlim] sample:		399.6 time, 400.7 real, 879.4 MB
[runlim] sample:		409.6 time, 410.7 real, 893.1 MB
[runlim] sample:		419.6 time, 420.7 real, 907.5 MB
[runlim] sample:		429.6 time, 430.7 real, 921.7 MB
[runlim] sample:		439.6 time, 440.7 real, 935.8 MB
[runlim] sample:		449.6 time, 450.7 real, 950.3 MB
[runlim] sample:		459.6 time, 460.7 real, 964.7 MB
[runlim] sample:		469.6 time, 470.7 real, 978.9 MB
[runlim] sample:		479.6 time, 480.7 real, 993.1 MB
[runlim] sample:		489.6 time, 490.7 real, 1007.4 MB
[runlim] sample:		499.6 time, 500.7 real, 1022.3 MB
[runlim] sample:		509.6 time, 510.7 real, 1036.7 MB
[runlim] sample:		519.6 time, 520.7 real, 1051.7 MB
[runlim] sample:		529.6 time, 530.7 real, 1066.1 MB
[runlim] sample:		539.6 time, 540.7 real, 1080.8 MB
[runlim] sample:		549.6 time, 550.7 real, 1095.2 MB
[runlim] sample:		559.6 time, 560.7 real, 1110.0 MB
[runlim] sample:		569.6 time, 570.7 real, 1123.4 MB
[runlim] sample:		579.6 time, 580.7 real, 1138.0 MB
