[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	900 seconds
[runlim] space limit:		2048 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		-m
[runlim] argv[2]:		counterSharp
[runlim] argv[3]:		--amm
[runlim] argv[4]:		/tmp/steuber/experiment/amm.dimacs
[runlim] argv[5]:		--amh
[runlim] argv[6]:		/tmp/steuber/experiment/amh.dimacs
[runlim] argv[7]:		--asm
[runlim] argv[8]:		/tmp/steuber/experiment/asm.dimacs
[runlim] argv[9]:		--ash
[runlim] argv[10]:		/tmp/steuber/experiment/ash.dimacs
[runlim] argv[11]:		--con
[runlim] argv[12]:		/tmp/steuber/experiment/con.dimacs
[runlim] argv[13]:		-d
[runlim] argv[14]:		--function
[runlim] argv[15]:		testfun
[runlim] argv[16]:		--unwind
[runlim] argv[17]:		32768
[runlim] argv[18]:		/home/i12/steuber/counting/counterSharp-experiments/benchmarks/bwd_loop10.c
[runlim] start:			Thu Oct 29 13:52:58 2020
[runlim] main pid:		27429
[counterSharp.util.Config] DEBUG: Input files: ['/home/i12/steuber/counting/counterSharp-experiments/benchmarks/bwd_loop10.c']
[counterSharp.source.SourceManager] DEBUG: /tmp/steuber/experiment/tmpjgorhpdw.c
[counterSharp.cbmc.CBMCManager] DEBUG: cbmc --verbosity 4 --function testfun --dimacs --slice-formula --unwind 32768 --no-assertions --no-assumptions --unwinding-assertions /tmp/steuber/experiment/tmpjgorhpdw.c
[runlim] sample:		9.7 time, 10.4 real, 108.9 MB
[runlim] sample:		19.7 time, 20.4 real, 161.8 MB
[runlim] sample:		29.7 time, 30.4 real, 204.4 MB
[runlim] sample:		39.7 time, 40.4 real, 240.5 MB
[runlim] sample:		49.6 time, 50.4 real, 274.3 MB
[runlim] sample:		59.6 time, 60.4 real, 307.0 MB
[runlim] sample:		69.6 time, 70.4 real, 337.0 MB
[runlim] sample:		79.6 time, 80.4 real, 375.0 MB
[runlim] sample:		89.6 time, 90.4 real, 416.0 MB
[runlim] sample:		99.6 time, 100.4 real, 455.9 MB
[runlim] sample:		109.6 time, 110.4 real, 495.3 MB
[runlim] sample:		119.6 time, 120.4 real, 534.4 MB
[runlim] sample:		129.6 time, 130.4 real, 569.5 MB
[runlim] sample:		139.6 time, 140.4 real, 601.2 MB
[runlim] sample:		149.5 time, 150.4 real, 629.2 MB
[runlim] sample:		159.5 time, 160.4 real, 660.6 MB
[runlim] sample:		169.5 time, 170.4 real, 692.6 MB
[runlim] sample:		179.5 time, 180.4 real, 724.2 MB
[runlim] sample:		189.5 time, 190.4 real, 755.0 MB
[runlim] sample:		199.5 time, 200.4 real, 785.6 MB
[runlim] sample:		209.5 time, 210.4 real, 815.7 MB
[runlim] sample:		219.5 time, 220.4 real, 841.7 MB
[runlim] sample:		229.5 time, 230.4 real, 869.5 MB
[runlim] sample:		239.5 time, 240.4 real, 896.5 MB
[runlim] sample:		249.5 time, 250.4 real, 921.7 MB
[runlim] sample:		259.5 time, 260.4 real, 946.4 MB
[runlim] sample:		269.5 time, 270.4 real, 970.0 MB
[runlim] sample:		279.5 time, 280.4 real, 992.7 MB
[runlim] sample:		289.5 time, 290.4 real, 1017.0 MB
[runlim] sample:		299.5 time, 300.4 real, 1040.9 MB
[runlim] sample:		309.5 time, 310.4 real, 1064.6 MB
[runlim] sample:		319.5 time, 320.4 real, 1088.1 MB
[runlim] sample:		329.5 time, 330.4 real, 1111.3 MB
[runlim] sample:		339.5 time, 340.4 real, 1133.8 MB
[runlim] sample:		349.5 time, 350.4 real, 1156.0 MB
[runlim] sample:		359.4 time, 360.4 real, 1180.2 MB
[runlim] sample:		369.4 time, 370.4 real, 1205.0 MB
[runlim] sample:		379.4 time, 380.4 real, 1236.5 MB
[runlim] sample:		389.4 time, 390.4 real, 1270.1 MB
[runlim] sample:		399.4 time, 400.4 real, 1303.4 MB
[runlim] sample:		409.4 time, 410.4 real, 1336.8 MB
[runlim] sample:		419.4 time, 420.4 real, 1371.0 MB
[runlim] sample:		429.4 time, 430.4 real, 1403.1 MB
[runlim] sample:		439.4 time, 440.4 real, 1436.3 MB
[runlim] sample:		449.4 time, 450.4 real, 1470.5 MB
[runlim] sample:		459.4 time, 460.4 real, 1506.2 MB
[runlim] sample:		469.5 time, 470.5 real, 1543.8 MB
[runlim] sample:		479.5 time, 480.5 real, 1578.9 MB
[runlim] sample:		489.5 time, 490.5 real, 1613.0 MB
[runlim] sample:		499.5 time, 500.5 real, 1646.2 MB
[runlim] sample:		509.5 time, 510.5 real, 1679.7 MB
[runlim] sample:		519.5 time, 520.5 real, 1713.5 MB
[runlim] sample:		529.4 time, 530.5 real, 1746.7 MB
[runlim] sample:		539.4 time, 540.5 real, 1780.3 MB
[runlim] sample:		549.4 time, 550.5 real, 1813.6 MB
[runlim] sample:		559.4 time, 560.5 real, 1846.4 MB
[runlim] sample:		569.4 time, 570.5 real, 1879.0 MB
[runlim] sample:		579.4 time, 580.5 real, 1911.3 MB
[runlim] sample:		589.4 time, 590.5 real, 1944.0 MB
[runlim] sample:		599.4 time, 600.5 real, 1976.5 MB
[runlim] sample:		609.4 time, 610.5 real, 2008.5 MB
[runlim] sample:		619.4 time, 620.5 real, 2040.3 MB
[runlim] end:			Thu Oct 29 14:03:21 2020
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		6226
[runlim] real:			623.52 seconds
[runlim] time:			622.43 seconds
[runlim] space:			2048.3 MB
[runlim] samples:		6230
